Lat,Long_,Deaths,Case_Fatality_Ratio
33.93911,67.709953,,3.779216715
41.1533,20.1683,,1.077233702
28.0339,1.6596,,2.536905131
42.5063,1.5218,165,0.3455425017
-11.2027,17.8739,,1.836433703
-71.9499,23.347,0,0
17.0608,-61.7964,146,1.603338458
-38.4161,-63.6167,,1.306452816
40.0691,45.0382,,1.954365257
-35.4735,149.0124,138,0.06136005905
-33.8688,151.2093,,0.1517344365
-12.4634,130.8456,84,0.08155181453
-27.4698,153.0251,,0.1379317464
-34.9285,138.6007,,0.1339840356
-42.8821,147.3272,,0.07992749434
-37.8136,144.9631,,0.2274631995
-31.9505,115.8605,,0.06666162258
47.5162,14.5501,,0.3755247962
40.1431,47.5769,,1.210895153
25.025885,-78.035889,,2.221866581
26.0275,50.55,,0.2201867939
23.685,90.3563,,1.445115079
13.1939,-59.5432,,0.5383120883
53.7098,27.9534,,0.716069925
51.2195,4.4024,0,0
50.8503,4.3517,0,0
51.0362,3.7373,0,0
50.9167,4.5833,0,0
50.5257,4.0621,0,0
50.4496,5.8492,0,0
50.9739,5.342,0,0
50.0547,5.4677,0,0
50.331,4.8221,0,0
,,,53.0273531
50.4,4.35,0,0
51.0536,3.1458,0,0
17.1899,-88.4976,,0.9804200986
9.3077,2.3158,163,0.5825173326
27.5142,90.4336,21,0.03358334266
-16.2902,-63.5887,,1.911955614
43.9159,17.6791,,4.046796224
-22.3285,24.6849,,0.8766395079
-9.0238,-70.812,,1.281495581
-9.5713,-36.782,,2.147980606
0.902,-52.003,,1.185920074
-3.4168,-65.8561,,2.307380899
-12.5797,-41.7007,,1.764454247
-5.4984,-39.3206,,1.948989363
-15.7998,-47.8645,,1.330521981
-19.1834,-40.3089,,1.139888485
-15.827,-49.8362,,1.518395536
-4.9609,-45.2744,,2.257149344
-12.6819,-56.9211,,1.738421132
-20.7722,-54.7852,,1.831662749
-18.5122,-44.555,,1.575934627
-1.9981,-54.9306,,2.201247277
-7.24,-36.782,,1.502104601
-25.2521,-52.0215,,1.595841327
-8.8137,-36.9541,,2.007035244
-7.7183,-42.7289,,1.936156936
-5.4026,-36.9541,,1.490814477
-30.0346,-51.2177,,1.428141344
-22.9068,-43.1729,,2.828309555
-11.5057,-63.5806,,1.564672716
-2.7376,-62.0751,,1.202214722
